Match ID,Date,Venue,Team1,Team2,Toss Winner ,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings Score,Seconds Innings Wicket,Match Winner,Won by,Margin,Player of match
1,18-Apr-09,"Newlands, Cape Town",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Group,165,7,146,7,Mumbai Indians,Runs,19,Sachin Tendulkar
2,18-Apr-09,"Newlands, Cape Town",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Bat,Group,133,8,58,10,Royal Challengers Bangalore,Runs,75,Rahul Dravid
3,19-Apr-09,"Newlands, Cape Town",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,104,7,58,0,Delhi Daredevils,Wickets,10,Daniel Vettori
