Match ID,Date,Venue,Team1,Team2,Toss winner,Toss decision,Stage,First innings score,First innings wicket,Second innings score,Second innings wicket,Match winner,Won by,Margin,Player of the match
1,18-Apr-08,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,222,3,82,10,Kolkata Knight Riders,Runs,140,Brendon McCullum
2,19-Apr-08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Group,240,5,207,4,Chennai Super Kings,Runs,33,Michael Hussey
3,19-Apr-08,"Feroz Shah Kotla, Delhi",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Group,129,8,132,1,Delhi Daredevils,Wickets,9,Farveez Maharoof

